Law_Firm,Wins,Losses,Win_Rate,Neutral_Appearances,Appellant_Appearances,Respondent_Appearances,Law_Firm(from_text),Cases
isadore goldman,1,2,33.33,0,2,1,isadore goldman,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/487.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1577.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1469.html""]}"
isle of wight council legal department,1,1,50.0,0,0,2,"isle of wight council legal department, isle of wight council legal services","{""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/379.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2025/488.html""]}"
islington legal services,2,0,100.0,0,0,2,"islington legal services, islington london borough council","{""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/22.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/2142.html""]}"
ison harrison solicitors,1,0,100.0,0,0,1,ison harrison solicitors,"{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/305.html""]}"
itn solicitors,1,3,25.0,0,4,0,itn solicitors,"{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1719.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1405.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1541.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1414.html""]}"
j g solicitors,0,1,0.0,0,0,1,j g solicitors,"{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/527.html""]}"
j h powell & co,1,0,100.0,0,1,0,j h powell & co,"{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/656.html""]}"
j h wilson solicitors,0,1,0.0,0,1,0,j h wilson solicitors,"{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1220.html""]}"
jackamans solicitors,0,1,0.0,0,1,0,jackamans solicitors,"{""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/482.html""]}"
jackson,0,1,0.0,0,1,0,jackson,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/27.html""]}"
jackson parton,1,0,100.0,0,1,0,jackson parton,"{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1413.html""]}"
jackson quinn solicitors,0,1,0.0,0,0,1,jackson quinn solicitors,"{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/607.html""]}"
jacksons law firm,0,1,0.0,0,0,1,jacksons law firm,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1585.html""]}"
jacobs & reeves,1,1,50.0,0,1,1,"jacobs & reeves, jacobs & reeves solicitors","{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/97.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/453.html""]}"
jacobs law,0,1,0.0,0,0,1,jacobs law,"{""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1127.html""]}"
james blendis at ee ltd,1,0,100.0,0,1,0,james blendis at ee ltd,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1873.html""]}"
james murray law,0,1,0.0,0,1,0,james murray law,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/244.html""]}"
james murray solicitors,0,1,0.0,0,1,0,james murray solicitors,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/114.html""]}"
james smith (planning law services) ltd,0,2,0.0,0,2,0,"james smith (planning law services) ltd, james smith (planning law services) ltd.","{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1162.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/2.html""]}"
janes solicitors,4,5,44.44,0,9,0,"janes solicitors, janes solicitors llp","{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1264.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1566.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/568.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/643.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/807.html""], ""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/265.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2025/644.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2025/67.html""]}"
jcp solicitors,0,1,0.0,0,0,1,jcp solicitors,"{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1446.html""]}"
"jcp solicitors, carmarthen",0,1,0.0,0,0,1,"jcp solicitors, carmarthen","{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1133.html""]}"
jefferies essex llp,0,2,0.0,0,2,0,jefferies essex llp,"{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1719.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/562.html""]}"
jenner & block london llp,0,1,0.0,0,0,1,jenner & block london llp,"{""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/886.html""]}"
jf law limited,1,0,100.0,0,0,1,jf law limited,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/14.html""]}"
jg solicitors,0,1,0.0,0,0,1,jg solicitors,"{""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/844.html""]}"
jh hart & company,1,0,100.0,0,0,1,jh hart & company,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/722.html""]}"
jirehouse,0,1,0.0,0,1,0,jirehouse,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/805.html""]}"
jmp solicitors,1,0,100.0,0,0,1,jmp solicitors,"{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1514.html""]}"
jmw solicitors llp,3,2,60.0,1,3,2,jmw solicitors llp,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/2091.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2339.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/846.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/479.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/269.html""], ""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/11.html""]}"
joanna connolly solicitors,0,2,0.0,0,2,0,joanna connolly solicitors,"{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/907.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/957.html""]}"
jobsons solicitors ltd,1,0,100.0,0,0,1,jobsons solicitors ltd,"{""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/616.html""]}"
joe egan solicitors,1,0,100.0,0,1,0,joe egan solicitors,"{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1583.html""]}"
joelson jd llp,1,1,50.0,0,2,0,"joelson jd llp, joelson llp","{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1447.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1793.html""]}"
john a neil solicitors,1,0,100.0,0,1,0,john a neil solicitors,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/2097.html""]}"
john bassett of national association of legally qualified chairs,0,0,,1,0,0,john bassett of national association of legally qualified chairs,"{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1961.html""]}"
john ford solicitors,1,2,33.33,0,3,0,"john ford solicitors, john hodge solicitors","{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/96.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1126.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1630.html""]}"
johnson,2,0,100.0,0,0,2,johnson,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/916.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1029.html""]}"
johnson & allen tax,1,0,100.0,0,0,1,johnson & allen tax,"{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/299.html""]}"
johnson & steller,0,1,0.0,0,1,0,johnson & steller,"{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/63.html""]}"
johnson uk llp,1,0,100.0,0,0,1,johnson uk llp,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1485.html""]}"
johnsons solicitors,1,0,100.0,0,1,0,johnsons solicitors,"{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/397.html""]}"
joint council for welfare of immigrants,0,1,0.0,0,1,0,joint council for welfare of immigrants,"{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/92.html""]}"
joint legal services,0,1,0.0,0,0,1,joint legal services,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1616.html""]}"
joint legal services for staffordshire police,0,1,0.0,0,0,1,joint legal services for staffordshire police,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/676.html""]}"
jolliffe & co llp,1,0,100.0,0,0,1,jolliffe & co llp,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1085.html""]}"
jones & co solicitors,1,0,100.0,0,0,1,jones & co solicitors,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/303.html""]}"
jones chase employment lawyers,0,1,0.0,0,1,0,jones chase employment lawyers,"{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/202.html""]}"
jones day,8,11,42.11,1,8,11,"jones day, jones day llp, jones day solicitors","{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1062.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1089.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1144.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1120.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/272.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1536.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1331.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/624.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/671.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/687.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1278.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/14.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1135.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1273.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1306.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1502.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1559.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/612.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/622.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/643.html""]}"
jones myers,1,0,100.0,0,0,1,jones myers,"{""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/360.html""]}"
jordans solicitors,1,0,100.0,0,1,0,jordans solicitors,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/841.html""]}"
joseph hage aaronson llp,3,2,60.0,0,4,1,joseph hage aaronson llp,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/376.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/97.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1109.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1430.html""], ""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/623.html""]}"
josiah hincks solicitors,0,1,0.0,0,1,0,josiah hincks solicitors,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1168.html""]}"
jp fletcher & co,1,0,100.0,0,1,0,jp fletcher & co,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1023.html""]}"
judge & priestley llp,0,1,0.0,0,0,1,judge & priestley llp,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/298.html""]}"
judge sykes frixou solicitors,1,0,100.0,0,0,1,judge sykes frixou solicitors,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/381.html""]}"
"juliet spender, of irwin mitchell llp",0,1,0.0,0,1,0,"juliet spender, of irwin mitchell llp","{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1656.html""]}"
jung & co solicitors,0,1,0.0,0,1,0,jung & co solicitors,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1515.html""]}"
jurit llp,0,1,0.0,0,0,1,jurit llp,"{""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/293.html""]}"
just costs solicitors as agents for fletchers solicitors,1,0,100.0,0,0,1,just costs solicitors as agents for fletchers solicitors,"{""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1941.html""]}"
just for kids law,1,0,100.0,1,1,0,just for kids law,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/114.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1185.html""]}"
k & l gates llp,2,6,25.0,0,7,1,"k & l gates llp, k&l gates llp","{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1376.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/162.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/505.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/13.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1300.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1834.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/333.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/817.html""]}"
k's legal services department,0,1,0.0,0,0,1,k's legal services department,"{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/5.html""]}"
kain knight costs lawyers,3,1,75.0,0,4,0,"kain knight costs lawyers, kain knight costs lawyers for sahota solicitors, kain knight costs lawyers, as agents for slater","{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1387.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/303.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1220.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/1687.html""]}"
kangs solicitors,0,1,0.0,0,1,0,kangs solicitors,"{""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/534.html""]}"
kapoor & co.,0,1,0.0,0,1,0,kapoor & co.,"{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1644.html""]}"
kastle solicitors,1,0,100.0,0,0,1,kastle solicitors,"{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1667.html""]}"
katten muchin rosenman llp,1,1,50.0,0,0,2,"katten muchin rosenman llp, katten muchin rosenman uk llp","{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/639.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/978.html""]}"
kdl law,1,0,100.0,0,0,1,kdl law,"{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/789.html""]}"
keelys llp,2,0,100.0,0,0,2,keelys llp,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/116.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/642.html""]}"
keidan harrison llp,1,0,100.0,0,0,1,keidan harrison llp,"{""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/268.html""]}"
"keith ashcroft, equality",0,0,,2,0,0,"keith ashcroft, equality","{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1239.html""]}"
kelly donovan at westminster legal services,1,0,100.0,0,0,1,kelly donovan at westminster legal services,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1448.html""]}"
kelly owen ltd,1,0,100.0,0,1,0,kelly owen ltd,"{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1835.html""]}"
kempner & partners llp,0,1,0.0,0,1,0,kempner & partners llp,"{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1420.html""]}"
kennedys solicitors,13,13,50.0,1,12,14,"kennedys, kennedys law, kennedys law llp, kennedys llp, kennedys solicitors","{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/665.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/8.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/11.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/474.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/2091.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/334.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/4097.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1882.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2214.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2252.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2413.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/33.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1103.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/808.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/88.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/574.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/996.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1789.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1848.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1417.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/1497.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/480.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/61.html""], ""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/203.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2025/44.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/53.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/547.html""]}"
kenneth elliott & rowe,1,0,100.0,0,1,0,kenneth elliott & rowe,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1023.html""]}"
kent legal services,0,1,0.0,0,1,0,kent legal services,"{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/81.html""]}"
keoghs,12,16,42.86,0,6,22,"keoghs, keoghs llp","{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/414.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/673.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/141.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/28.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/399.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/401.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/764.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/144.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/259.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/366.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/439.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2017/79.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2342.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1846.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1015.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/180.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/1352.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/382.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/15.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/630.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/224.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/418.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/744.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/838.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/891.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1026.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2024/250.html""], ""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/733.html""]}"
keoghs solicitors,0,1,0.0,0,1,0,keoghs solicitors,"{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1613.html""]}"
kerman,5,3,62.5,0,0,8,"kerman, kerman & co, kerman & co llp, kerman & co., kerman & co. llp, kerman + co llp","{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/1647.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/470.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/695.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/367.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1964.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/219.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/51.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1285.html""]}"
kesar,1,1,50.0,0,2,0,"kesar, kesar & co.","{""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/805.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/2181.html""]}"
kesar & co solicitors,1,0,100.0,0,1,0,kesar & co solicitors,"{""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/367.html""]}"
key ip limited,0,1,0.0,0,1,0,key ip limited,"{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/2679.html""]}"
keystone law,7,10,41.18,0,12,5,"keystone law, keystone law llp","{""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/107.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/353.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/404.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2020/599.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/714.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/238.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/641.html""], ""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/385.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2025/66.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1246.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/170.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/2068.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/210.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/676.html""], ""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1645.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2019/1992.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/854.html""]}"
khan partnership,4,2,66.67,0,3,3,"khan partnership, khan partnership llp, khans","{""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/164.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/39.html""], ""2017"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2017/42.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/671.html""], ""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1385.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/815.html""]}"
khf solicitors,1,0,100.0,0,1,0,khf solicitors,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1091.html""]}"
kidd rapinet llp,1,0,100.0,0,0,1,kidd rapinet llp,"{""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/626.html""]}"
kidwells law solicitors ltd,0,1,0.0,0,1,0,kidwells law solicitors ltd,"{""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1061.html""]}"
kilgannon,0,1,0.0,0,0,1,kilgannon,"{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/1550.html""]}"
king & spalding international llp,6,4,60.0,0,5,5,"king & spalding international llp, king & spalding llp","{""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1676.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1896.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/25.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2018/838.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/637.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1462.html""], ""2025"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2025/457.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2025/783.html""], ""2021"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2021/11.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2021/6.html""]}"
king & wood malleson llp,1,1,50.0,1,2,0,"king & wood malleson llp, king & wood mallesons llp, king wood mallesons llp","{""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/1562.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/537.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/681.html""]}"
king street solicitors,0,1,0.0,0,0,1,king street solicitors,"{""2019"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2019/2209.html""]}"
kingsley napley,6,5,54.55,0,5,6,"kingsley napley, kingsley napley llp, kingsley napley solicitors, kingsley napley, llp","{""2024"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2024/367.html""], ""2023"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2023/50.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2023/507.html""], ""2015"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2015/230.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2015/665.html""], ""2016"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2016/1093.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2016/15.html""], ""2018"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2018/1176.html""], ""2020"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2020/996.html""], ""2022"": [""https://www.bailii.org/ew/cases/EWCA/Civ/2022/1492.html"", ""https://www.bailii.org/ew/cases/EWCA/Civ/2022/414.html""]}"
