Law_Firm,Wins,Losses,Neutral_Appearances,Appellant_Appearances,Respondent_Appearances,Cases,Win_Rate
rother district councils,1,0,2,1,0,"{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/368.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/727.html']}",100.0
shared legal services for wealden,0,0,2,0,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/727.html']},
pallas partners llp,0,2,0,2,0,"{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1141.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/724.html']}",0.0
public law project,3,3,1,3,3,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/1193.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/464.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/91.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1426.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/726.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/717.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/1156.html']}",50.0
beale & co. solicitors llp,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/752.html']},0.0
zaiwalla & co,1,1,0,0,2,"{2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/1953.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/742.html']}",50.0
arnold & porter kaye scholer (uk) llp,1,2,0,1,2,"{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1518.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/742.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/1471.html']}",33.33333333333333
tilly bailey & irvine llp,1,1,0,1,1,"{2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/66.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/729.html']}",50.0
ewc legal advisers,1,1,0,0,2,"{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/883.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/756.html']}",50.0
shoosmiths,1,1,0,0,2,"{2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1001.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/664.html']}",50.0
muldoon britton,1,0,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/648.html']},100.0
"curtis, mallet-prevost, colt & mosle llp",0,2,0,1,1,"{2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/1585.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/688.html']}",0.0
vinson & elkins llp,2,0,0,1,1,"{2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/1419.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/688.html']}",100.0
charles russell speechlys llp,7,5,0,5,7,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/1176.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/805.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/42.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/411.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/413.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1615.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1103.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/2715.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/1075.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/112.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/792.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/726.html']}",58.333333333333336
quinn barrow solicitors,1,0,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/700.html']},100.0
aaron & partners llp,1,6,0,4,3,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/701.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1313.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/231.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/143.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/1440.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/213.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/700.html']}",14.285714285714285
atkinson rose llp,0,2,0,2,0,"{2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1659.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/652.html']}",0.0
knights plc,1,1,0,0,2,"{2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/102.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/652.html']}",50.0
acklam bond,0,1,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/657.html']},0.0
hill dickinson,5,3,0,1,7,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/984.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/365.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/329.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/978.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/230.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/984.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/657.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/1190.html']}",62.5
huggins lewis foskett solicitors,1,0,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/660.html']},100.0
sebastians solicitors,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/660.html']},0.0
harrison grant ring,0,3,0,3,0,"{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/917.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/809.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/723.html']}",0.0
herefordshire legal services,1,0,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/723.html']},100.0
hunt and coombs llp,0,1,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/744.html']},0.0
paul hastings (europe) llp,1,3,0,3,1,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/37.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/2132.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/31.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/701.html']}",25.0
talbots law ltd,1,1,0,1,1,"{2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/12.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/602.html']}",50.0
rook irwin sweeney llp,0,3,0,2,1,"{2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/21.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1580.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/902.html']}",0.0
wedlake bell llp,4,0,0,0,4,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/282.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/348.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1073.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/849.html']}",100.0
acuity law limited,0,2,0,2,0,"{2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/227.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/837.html']}",0.0
jenner & block london llp,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/886.html']},0.0
"county solicitor, devon county council",1,1,0,1,1,"{2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/833.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/927.html']}",50.0
lazarev cleaver llp,1,0,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/879.html']},100.0
"legal group enforcement & market oversight, hmcts customer investigation team",0,0,1,0,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/881.html']},
holden & co solicitors,0,1,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/896.html']},0.0
folkestone,1,0,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/896.html']},100.0
hydistrict council - legal services,1,0,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/896.html']},100.0
marks & clerk law llp,0,2,0,1,1,"{2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/1099.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/840.html']}",0.0
sl5 legal/tuckers solicitors,0,1,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/885.html']},0.0
gardner leader llp,2,1,0,0,3,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/1002.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/629.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/821.html']}",66.66666666666666
cms cameron mckenna nabarro oslwang llp,1,0,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/873.html']},100.0
oakwood solicitors limited,1,0,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/844.html']},100.0
jg solicitors,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/844.html']},0.0
moore barlow llp,1,3,0,4,0,"{2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/471.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/22.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1241.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/909.html']}",25.0
ingram winter green llp,1,2,0,1,2,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/359.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/127.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/909.html']}",33.33333333333333
mcdermott will & emery uk llp,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/826.html']},0.0
paul martin and co solicitors,0,1,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/785.html']},0.0
lb lambeth legal services,1,0,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/809.html']},100.0
bond turner solicitors,1,0,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/838.html']},100.0
"manminder mangat, bi-borough shared legal services",1,0,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/924.html']},100.0
luke and bridger law,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/924.html']},0.0
sidley austin llp,3,4,0,4,3,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/743.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/1031.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/1096.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1160.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/821.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1135.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/763.html']}",42.857142857142854
peters and peters solicitors llp,3,0,0,2,1,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/1099.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/1160.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/763.html']}",100.0
rpc llp,3,2,0,2,3,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/629.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/1006.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/656.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/892.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/763.html']}",60.0
coninghams,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/842.html']},0.0
brett wilson llp,2,0,0,1,1,"{2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/672.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/874.html']}",100.0
"legal services, london borough of tower hamlets",2,1,0,0,3,"{2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/439.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/831.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/917.html']}",66.66666666666666
ofcom legal team,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/843.html']},0.0
jacobs law,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1127.html']},0.0
walker morris,1,1,0,2,0,"{2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/1864.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/841.html']}",50.0
w p thompson,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/841.html']},0.0
lawstop,0,2,0,2,0,"{2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1370.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/975.html']}",0.0
london borough of haringey legal services,3,1,0,1,3,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1861.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/1624.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1370.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/975.html']}",75.0
patron law limited,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1000.html']},0.0
bowser ollard & bentley ltd,0,1,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/923.html']},0.0
ashtons legal,3,1,0,0,4,"{2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/107.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1417.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1648.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/923.html']}",75.0
disclosure and barring service legal services,1,0,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/982.html']},100.0
cleary gottlieb steen & hamilton llp,6,3,0,4,5,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/1036.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/220.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/264.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/981.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1087.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/625.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/423.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1701.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/980.html']}",66.66666666666666
bolt burdon kemp,4,3,0,3,4,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/1120.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/11.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/180.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/543.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/356.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1352.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/996.html']}",57.14285714285714
dwf llp,11,14,1,8,17,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/92.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/540.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/746.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/1147.html'], 2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/551.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/128.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/544.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/491.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/1308.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2016/1109.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1482.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/434.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/193.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/1873.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2339.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1126.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/2640.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/317.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/2232.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/555.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/190.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/815.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/978.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/995.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/904.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/996.html']}",44.0
bhatt murphy,4,5,1,9,0,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/653.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/654.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/836.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2015/1187.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/57.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/515.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/1239.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/330.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/334.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/926.html']}",44.44444444444444
bindmans,0,0,1,0,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/926.html']},
fenchurch law (uk) limited,1,0,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/999.html']},100.0
woolfe & co solicitors,0,1,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1087.html']},0.0
financial ombudsman service ltd,1,0,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1049.html']},100.0
mills & co solicitors ltd,0,1,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1007.html']},0.0
solicitor for hmrc,4,0,0,0,4,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/648.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/825.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2022/1620.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1179.html']}",100.0
in-house legal team,1,0,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1141.html']},100.0
saunders law,1,1,0,1,1,"{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1260.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1107.html']}",50.0
dorsey & whitney (europe) llp,0,2,0,2,0,"{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1451.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/1142.html']}",0.0
dudley metropolitan borough council (law,1,0,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1246.html']},100.0
governance,1,0,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1246.html']},100.0
lawcomm solicitors,0,1,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1178.html']},0.0
david cooper & co,1,0,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1178.html']},100.0
hb public law,0,2,0,0,2,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/152.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1243.html']}",0.0
sky solicitors ltd,0,1,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1119.html']},0.0
vicarage court solicitors,1,0,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1119.html']},100.0
harrison clark rickerbys ltd,2,1,0,2,1,"{2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/143.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/887.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1119.html']}",66.66666666666666
mills chody llp,2,0,0,0,2,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/362.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1201.html']}",100.0
estate & corporate solicitors,0,1,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1073.html']},0.0
steptoe & johnson uk llp,3,3,0,5,1,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/274.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/1908.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/11.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1701.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1471.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2023/1132.html']}",50.0
pjh law solicitors,0,1,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1261.html']},0.0
green & olive solicitors,0,1,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1341.html']},0.0
fisher jones greenwood llp,0,1,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1389.html']},0.0
malvern hills & wychavon district councils,1,0,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1389.html']},100.0
associate law firm,0,2,0,2,0,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/544.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1351.html']}",0.0
capsticks solicitors llp,3,3,0,0,6,"{2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/401.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/336.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/2852.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1307.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/1649.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1330.html']}",50.0
simon jones of merthyr tydfil county borough council,1,0,0,1,0,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1416.html']},100.0
mcdermott smith law ltd,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1416.html']},0.0
law society legal services team,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1416.html']},0.0
stewarts,0,2,0,0,2,"{2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/234.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1416.html']}",0.0
anthony gold solicitors llp,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1416.html']},0.0
gibson dunn & crutcher uk llp,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1445.html']},0.0
wallace llp,1,5,0,5,1,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/1176.html'], 2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/1618.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2018/1704.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/371.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2020/795.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1284.html']}",16.666666666666664
child & child law ltd,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1284.html']},0.0
general counsel and solicitor for his majesty's revenue,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1281.html']},0.0
information commissioner,3,1,1,0,4,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/758.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/74.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/374.html'], 2020: ['https://www.bailii.org/ew/cases/EWCA/Civ/2020/580.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1378.html']}",75.0
hausfield & co llp,2,1,0,1,2,"{2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1077.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/876.html']}",66.66666666666666
kennedys law,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1417.html']},0.0
waterson hicks,0,1,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1320.html']},0.0
msb solicitors,2,1,0,1,2,"{2015: ['https://www.bailii.org/ew/cases/EWCA/Civ/2015/27.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/1029.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1318.html']}",66.66666666666666
candey,1,6,0,5,2,"{2018: ['https://www.bailii.org/ew/cases/EWCA/Civ/2018/172.html'], 2019: ['https://www.bailii.org/ew/cases/EWCA/Civ/2019/1271.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2019/754.html'], 2021: ['https://www.bailii.org/ew/cases/EWCA/Civ/2021/565.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2021/1310.html'], 2022: ['https://www.bailii.org/ew/cases/EWCA/Civ/2022/1393.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1276.html']}",14.285714285714285
howells solicitors,1,3,0,2,2,"{2016: ['https://www.bailii.org/ew/cases/EWCA/Civ/2016/395.html'], 2017: ['https://www.bailii.org/ew/cases/EWCA/Civ/2017/1751.html', 'https://www.bailii.org/ew/cases/EWCA/Civ/2017/318.html'], 2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1377.html']}",25.0
coventry city council,1,0,0,0,1,{2023: ['https://www.bailii.org/ew/cases/EWCA/Civ/2023/1360.html']},100.0
